Score,UpCourt,DownCourt,Start,End,Comment
3_07_05,CHOU Tien Chen,Kento MOMOTA,103932,104098,0
3_08_05,CHOU Tien Chen,Kento MOMOTA,104517,104668,0
3_09_05,CHOU Tien Chen,Kento MOMOTA,105293,105636,0
3_09_06,CHOU Tien Chen,Kento MOMOTA,106525,106594,0
3_09_07,CHOU Tien Chen,Kento MOMOTA,106893,107246,0
3_09_08,CHOU Tien Chen,Kento MOMOTA,107586,107917,0
3_10_08,CHOU Tien Chen,Kento MOMOTA,108309,108381,0
3_10_09,CHOU Tien Chen,Kento MOMOTA,108852,109834,0
3_11_09,CHOU Tien Chen,Kento MOMOTA,110482,110838,0
3_12_09,Kento MOMOTA,CHOU Tien Chen,112975,113432,0
3_13_09,Kento MOMOTA,CHOU Tien Chen,113919,114451,0
3_13_10,Kento MOMOTA,CHOU Tien Chen,114967,115545,0
3_13_11,Kento MOMOTA,CHOU Tien Chen,116209,116335,0
3_14_11,Kento MOMOTA,CHOU Tien Chen,116770,117372,0
3_15_11,Kento MOMOTA,CHOU Tien Chen,118885,119985,0
3_15_12,Kento MOMOTA,CHOU Tien Chen,121522,121794,0
3_15_13,Kento MOMOTA,CHOU Tien Chen,122316,122495,0
3_15_14,Kento MOMOTA,CHOU Tien Chen,122918,123175,0
3_15_15,Kento MOMOTA,CHOU Tien Chen,124723,125262,0
3_16_15,Kento MOMOTA,CHOU Tien Chen,125901,126868,0
3_16_16,Kento MOMOTA,CHOU Tien Chen,127829,128172,0
3_17_16,Kento MOMOTA,CHOU Tien Chen,128747,128963,0
3_17_17,Kento MOMOTA,CHOU Tien Chen,129543,129720,0
3_18_17,Kento MOMOTA,CHOU Tien Chen,131228,131783,0
3_19_17,Kento MOMOTA,CHOU Tien Chen,132514,132647,0
3_20_17,Kento MOMOTA,CHOU Tien Chen,133226,133397,0
3_20_18,Kento MOMOTA,CHOU Tien Chen,134153,134557,0
3_21_18,Kento MOMOTA,CHOU Tien Chen,135099,135619,0
