rally_bool,rally_player,rally,ball_round,frame_num,roundscore_A,roundscore_B,player,lose_reason,getpoint_player
False,A,9,7,16394,6,3,A,,
False,A,9,8,16427,6,3,B,,
False,A,9,9,16461,6,3,A,,
False,A,9,10,16477,6,3,B,,
False,A,9,11,16500,6,3,A,,
False,A,9,12,16535,6,3,B,,
False,A,9,13,16571,6,3,A,,
False,A,9,14,16588,6,3,B,,
False,A,9,15,16616,6,3,A,,
False,A,9,16,16637,6,3,B,,
False,A,9,17,16657,6,3,A,,
False,A,9,18,16690,6,3,B,,
False,A,9,19,16726,6,3,A,,
False,A,9,20,16744,6,3,B,,
False,A,9,21,16772,6,3,A,,
False,A,9,22,16799,6,3,B,對手落地致勝,B
True,B,10,1,17423,7,3,B,,
True,B,10,2,17447,7,3,A,,
True,B,10,3,17477,7,3,B,,
True,B,10,4,17497,7,3,A,,
True,B,10,5,17518,7,3,B,,
True,B,10,6,17548,7,3,A,,
True,B,10,7,17558,7,3,B,,
True,B,10,8,17573,7,3,A,,
True,B,10,9,17596,7,3,B,掛網,A
False,A,11,1,17990,7,4,A,,
False,A,11,2,18001,7,4,B,,
False,A,11,3,18032,7,4,A,,
False,A,11,4,18048,7,4,B,,
False,A,11,5,18075,7,4,A,,
False,A,11,6,18100,7,4,B,,
False,A,11,7,18121,7,4,A,,
False,A,11,8,18160,7,4,B,,
False,A,11,9,18197,7,4,A,,
False,A,11,10,18213,7,4,B,,
False,A,11,11,18246,7,4,A,,
False,A,11,12,18266,7,4,B,,
False,A,11,13,18286,7,4,A,,
False,A,11,14,18308,7,4,B,,
False,A,11,15,18331,7,4,A,,
False,A,11,16,18350,7,4,B,,
False,A,11,17,18364,7,4,A,,
False,A,11,18,18382,7,4,B,,
False,A,11,19,18415,7,4,A,,
False,A,11,20,18442,7,4,B,,
False,A,11,21,18468,7,4,A,,
False,A,11,22,18486,7,4,B,,
False,A,11,23,18508,7,4,A,,
False,A,11,24,18528,7,4,B,,
False,A,11,25,18560,7,4,A,,
False,A,11,26,18592,7,4,B,,
False,A,11,27,18629,7,4,A,,
False,A,11,28,18651,7,4,B,,
False,A,11,29,18676,7,4,A,,
False,A,11,30,18716,7,4,B,,
False,A,11,31,18746,7,4,A,,
False,A,11,32,18777,7,4,B,,
False,A,11,33,18797,7,4,A,,
False,A,11,34,18823,7,4,B,,
False,A,11,35,18854,7,4,A,,
False,A,11,36,18888,7,4,B,,
False,A,11,37,18925,7,4,A,,
False,A,11,38,18962,7,4,B,,
False,A,11,39,18990,7,4,A,,
False,A,11,40,19025,7,4,B,,
False,A,11,41,19062,7,4,A,出界,B
True,B,12,1,19583,7,5,B,,
True,B,12,2,19589,7,5,A,,
True,B,12,3,19619,7,5,B,,
True,B,12,4,19654,7,5,A,,
True,B,12,5,19668,7,5,B,,
True,B,12,6,19692,7,5,A,,
True,B,12,7,19724,7,5,B,,
True,B,12,8,19751,7,5,A,,
True,B,12,9,19768,7,5,B,,
True,B,12,10,19780,7,5,A,,
True,B,12,11,19800,7,5,B,,
True,B,12,12,19834,7,5,A,,
True,B,12,13,19858,7,5,B,,
True,B,12,14,19885,7,5,A,,
True,B,12,15,19930,7,5,B,,
True,B,12,16,19969,7,5,A,,
True,B,12,17,19999,7,5,B,,
True,B,12,18,20016,7,5,A,,
True,B,12,19,20042,7,5,B,,
True,B,12,20,20069,7,5,A,,
True,B,12,21,20100,7,5,B,,
True,B,12,22,20131,7,5,A,,
True,B,12,23,20169,7,5,B,,
True,B,12,24,20187,7,5,A,,
True,B,12,25,20212,7,5,B,,
True,B,12,26,20248,7,5,A,,
True,B,12,27,20271,7,5,B,,
True,B,12,28,20298,7,5,A,,
True,B,12,29,20320,7,5,B,,
True,B,12,30,20349,7,5,A,,
True,B,12,31,20373,7,5,B,,
True,B,12,32,20406,7,5,A,,
True,B,12,33,20427,7,5,B,,
True,B,12,34,20460,7,5,A,出界,B
False,B,13,1,21006,7,6,B,,
False,B,13,2,21024,7,6,A,,
False,B,13,3,21054,7,6,B,,
False,B,13,4,21084,7,6,A,,
False,B,13,5,21108,7,6,B,,
False,B,13,6,21135,7,6,A,,
False,B,13,7,21145,7,6,B,,
False,B,13,8,21169,7,6,A,,
False,B,13,9,21202,7,6,B,,
False,B,13,10,21241,7,6,A,,
False,B,13,11,21258,7,6,B,,
False,B,13,12,21290,7,6,A,,
False,B,13,13,21316,7,6,B,,
False,B,13,14,21344,7,6,A,,
False,B,13,15,21368,7,6,B,,
False,B,13,16,21394,7,6,A,,
False,B,13,17,21427,7,6,B,,
False,B,13,18,21454,7,6,A,,
False,B,13,19,21484,7,6,B,,
False,B,13,20,21515,7,6,A,,
False,B,13,21,21550,7,6,B,,
False,B,13,22,21585,7,6,A,,
False,B,13,23,21622,7,6,B,,
False,B,13,24,21647,7,6,A,,
False,B,13,25,21672,7,6,B,,
False,B,13,26,21700,7,6,A,,
False,B,13,27,21724,7,6,B,,
False,B,13,28,21752,7,6,A,,
False,B,13,29,21784,7,6,B,,
False,B,13,30,21809,7,6,A,,
False,B,13,31,21833,7,6,B,,
False,B,13,32,21859,7,6,A,,
False,B,13,33,21912,7,6,B,,
False,B,13,34,21926,7,6,A,,
False,B,13,35,21951,7,6,B,,
False,B,13,36,21983,7,6,A,,
False,B,13,37,22017,7,6,B,,
False,B,13,38,22048,7,6,A,,
False,B,13,39,22080,7,6,B,對手落地致勝,B
True,B,14,1,23058,8,6,B,,
True,B,14,2,23071,8,6,A,,
True,B,14,3,23095,8,6,B,,
True,B,14,4,23118,8,6,A,,
True,B,14,5,23166,8,6,B,,
True,B,14,6,23178,8,6,A,,
True,B,14,7,23206,8,6,B,,
True,B,14,8,23224,8,6,A,,
True,B,14,9,23254,8,6,B,,
True,B,14,10,23288,8,6,A,,
True,B,14,11,23314,8,6,B,,
True,B,14,12,23337,8,6,A,,
True,B,14,13,23378,8,6,B,,
True,B,14,14,23412,8,6,A,對手落地致勝,A
False,A,15,1,23852,9,6,A,,
False,A,15,2,23864,9,6,B,,
False,A,15,3,23890,9,6,A,,
False,A,15,4,23917,9,6,B,,
False,A,15,5,23955,9,6,A,,
False,A,15,6,23977,9,6,B,,
False,A,15,7,24005,9,6,A,,
False,A,15,8,24043,9,6,B,,
False,A,15,9,24071,9,6,A,,
False,A,15,10,24089,9,6,B,,
False,A,15,11,24112,9,6,A,,
False,A,15,12,24137,9,6,B,,
False,A,15,13,24160,9,6,A,,
False,A,15,14,24197,9,6,B,,
False,A,15,15,24210,9,6,A,,
False,A,15,16,24235,9,6,B,,
False,A,15,17,24257,9,6,A,,
False,A,15,18,24312,9,6,B,掛網,A
True,A,16,1,24978,10,6,A,,
True,A,16,2,24990,10,6,B,,
True,A,16,3,25017,10,6,A,,
True,A,16,4,25042,10,6,B,,
True,A,16,5,25070,10,6,A,,
True,A,16,6,25093,10,6,B,,
True,A,16,7,25116,10,6,A,,
True,A,16,8,25154,10,6,B,,
True,A,16,9,25187,10,6,A,,
True,A,16,10,25213,10,6,B,,
True,A,16,11,25239,10,6,A,,
True,A,16,12,25280,10,6,B,,
True,A,16,13,25320,10,6,A,,
True,A,16,14,25352,10,6,B,,
True,A,16,15,25382,10,6,A,,
True,A,16,16,25403,10,6,B,,
True,A,16,17,25424,10,6,A,,
True,A,16,18,25449,10,6,B,,
True,A,16,19,25467,10,6,A,,
True,A,16,20,25490,10,6,B,,
True,A,16,21,25512,10,6,A,,
True,A,16,22,25570,10,6,B,,
True,A,16,23,25581,10,6,A,,
True,A,16,24,25599,10,6,B,,
True,A,16,25,25620,10,6,A,,
True,A,16,26,25643,10,6,B,,
True,A,16,27,25668,10,6,A,,
True,A,16,28,25695,10,6,B,,
True,A,16,29,25712,10,6,A,,
True,A,16,30,25737,10,6,B,,
True,A,16,31,25763,10,6,A,,
True,A,16,32,25804,10,6,B,,
True,A,16,33,25836,10,6,A,,
True,A,16,34,25860,10,6,B,,
True,A,16,35,25889,10,6,A,,
True,A,16,36,25928,10,6,B,,
True,A,16,37,25949,10,6,A,,
True,A,16,38,25969,10,6,B,,
True,A,16,39,26007,10,6,A,,
True,A,16,40,26031,10,6,B,掛網,A
False,A,17,1,27399,10,7,A,,
False,A,17,2,27415,10,7,B,,
False,A,17,3,27440,10,7,A,,
False,A,17,4,27465,10,7,B,,
False,A,17,5,27482,10,7,A,,
False,A,17,6,27505,10,7,B,,
False,A,17,7,27526,10,7,A,,
False,A,17,8,27560,10,7,B,,
False,A,17,9,27589,10,7,A,,
False,A,17,10,27601,10,7,B,,
False,A,17,11,27630,10,7,A,,
False,A,17,12,27660,10,7,B,,
False,A,17,13,27678,10,7,A,,
False,A,17,14,27701,10,7,B,,
False,A,17,15,27728,10,7,A,出界,B
True,B,18,1,28235,10,8,B,,
True,B,18,2,28259,10,8,A,,
True,B,18,3,28288,10,8,B,,
True,B,18,4,28314,10,8,A,,
True,B,18,5,28335,10,8,B,,
True,B,18,6,28355,10,8,A,,
True,B,18,7,28375,10,8,B,,
True,B,18,8,28392,10,8,A,,
True,B,18,9,28402,10,8,B,,
True,B,18,10,28417,10,8,A,,
True,B,18,11,28446,10,8,B,,
True,B,18,12,28471,10,8,A,,
True,B,18,13,28498,10,8,B,,
True,B,18,14,28525,10,8,A,,
True,B,18,15,28549,10,8,B,,
True,B,18,16,28577,10,8,A,,
True,B,18,17,28621,10,8,B,,
True,B,18,18,28659,10,8,A,,
True,B,18,19,28677,10,8,B,對手落地致勝,B
False,B,19,1,29123,11,8,B,,
False,B,19,2,29167,11,8,A,,
False,B,19,3,29180,11,8,B,,
False,B,19,4,29208,11,8,A,,
False,B,19,5,29239,11,8,B,,
False,B,19,6,29266,11,8,A,,
False,B,19,7,29296,11,8,B,出界,A
True,A,20,1,31396,11,9,A,,
True,A,20,2,31420,11,9,B,,
True,A,20,3,31450,11,9,A,出界,B
False,B,21,1,31753,12,9,B,,
False,B,21,2,31759,12,9,A,,
False,B,21,3,31789,12,9,B,,
False,B,21,4,31808,12,9,A,,
False,B,21,5,31828,12,9,B,出界,A
True,A,22,1,32365,13,9,A,,
True,A,22,2,32379,13,9,B,,
True,A,22,3,32389,13,9,A,,
True,A,22,4,32407,13,9,B,,
True,A,22,5,32416,13,9,A,,
True,A,22,6,32446,13,9,B,,
True,A,22,7,32461,13,9,A,,
True,A,22,8,32480,13,9,B,,
True,A,22,9,32503,13,9,A,,
True,A,22,10,32533,13,9,B,,
True,A,22,11,32556,13,9,A,,
True,A,22,12,32568,13,9,B,掛網,A
False,A,23,1,33026,14,9,A,,
False,A,23,2,33036,14,9,B,,
False,A,23,3,33047,14,9,A,,
False,A,23,4,33074,14,9,B,,
False,A,23,5,33113,14,9,A,,
False,A,23,6,33127,14,9,B,,
False,A,23,7,33154,14,9,A,,
False,A,23,8,33176,14,9,B,未過網,A
True,A,24,1,33608,14,10,A,,
True,A,24,2,33622,14,10,B,,
True,A,24,3,33646,14,10,A,,
True,A,24,4,33672,14,10,B,,
True,A,24,5,33685,14,10,A,,
True,A,24,6,33712,14,10,B,,
True,A,24,7,33737,14,10,A,,
True,A,24,8,33760,14,10,B,,
True,A,24,9,33776,14,10,A,,
True,A,24,10,33804,14,10,B,,
True,A,24,11,33831,14,10,A,,
True,A,24,12,33861,14,10,B,,
True,A,24,13,33887,14,10,A,,
True,A,24,14,33919,14,10,B,,
True,A,24,15,33948,14,10,A,,
True,A,24,16,33970,14,10,B,,
True,A,24,17,33998,14,10,A,,
True,A,24,18,34026,14,10,B,,
True,A,24,19,34053,14,10,A,掛網,B
False,B,25,1,34896,15,10,B,,
False,B,25,2,34924,15,10,A,,
False,B,25,3,34939,15,10,B,,
False,B,25,4,34953,15,10,A,,
False,B,25,5,34970,15,10,B,,
False,B,25,6,34999,15,10,A,,
False,B,25,7,35019,15,10,B,,
False,B,25,8,35045,15,10,A,,
False,B,25,9,35068,15,10,B,,
False,B,25,10,35091,15,10,A,,
False,B,25,11,35145,15,10,B,,
False,B,25,12,35156,15,10,A,,
False,B,25,13,35182,15,10,B,,
False,B,25,14,35204,15,10,A,,
False,B,25,15,35219,15,10,B,,
False,B,25,16,35231,15,10,A,,
False,B,25,17,35242,15,10,B,未過網,A
True,A,26,1,35812,16,10,A,,
True,A,26,2,35829,16,10,B,,
True,A,26,3,35859,16,10,A,,
True,A,26,4,35882,16,10,B,,
True,A,26,5,35911,16,10,A,,
True,A,26,6,35933,16,10,B,,
True,A,26,7,35966,16,10,A,,
True,A,26,8,35988,16,10,B,,
True,A,26,9,36009,16,10,A,,
True,A,26,10,36048,16,10,B,掛網,A
False,A,27,1,36562,17,10,A,,
False,A,27,2,36577,17,10,B,,
False,A,27,3,36599,17,10,A,,
False,A,27,4,36623,17,10,B,,
False,A,27,5,36666,17,10,A,,
False,A,27,6,36677,17,10,B,,
False,A,27,7,36701,17,10,A,,
False,A,27,8,36714,17,10,B,,
False,A,27,9,36735,17,10,A,,
False,A,27,10,36764,17,10,B,,
False,A,27,11,36789,17,10,A,,
False,A,27,12,36811,17,10,B,,
False,A,27,13,36838,17,10,A,,
False,A,27,14,36872,17,10,B,,
False,A,27,15,36899,17,10,A,,
False,A,27,16,36933,17,10,B,,
False,A,27,17,36960,17,10,A,,
False,A,27,18,36980,17,10,B,,
False,A,27,19,37014,17,10,A,,
False,A,27,20,37037,17,10,B,,
False,A,27,21,37070,17,10,A,,
False,A,27,22,37107,17,10,B,,
False,A,27,23,37126,17,10,A,,
False,A,27,24,37151,17,10,B,,
False,A,27,25,37175,17,10,A,,
False,A,27,26,37222,17,10,B,,
False,A,27,27,37246,17,10,A,,
False,A,27,28,37271,17,10,B,,
False,A,27,29,37294,17,10,A,,
False,A,27,30,37345,17,10,B,,
False,A,27,31,37379,17,10,A,,
False,A,27,32,37403,17,10,B,,
False,A,27,33,37429,17,10,A,,
False,A,27,34,37462,17,10,B,,
False,A,27,35,37489,17,10,A,,
False,A,27,36,37520,17,10,B,,
False,A,27,37,37546,17,10,A,,
False,A,27,38,37568,17,10,B,,
False,A,27,39,37585,17,10,A,,
False,A,27,40,37615,17,10,B,,
False,A,27,41,37632,17,10,A,,
False,A,27,42,37660,17,10,B,,
False,A,27,43,37688,17,10,A,,
False,A,27,44,37723,17,10,B,出界,A
True,A,28,1,38386,18,10,A,,
True,A,28,2,38406,18,10,B,,
True,A,28,3,38428,18,10,A,,
True,A,28,4,38465,18,10,B,,
True,A,28,5,38494,18,10,A,,
True,A,28,6,38511,18,10,B,掛網,A
False,A,29,1,39814,18,11,A,,
False,A,29,2,39828,18,11,B,,
False,A,29,3,39838,18,11,A,,
False,A,29,4,39869,18,11,B,,
False,A,29,5,39888,18,11,A,,
False,A,29,6,39915,18,11,B,,
False,A,29,7,39946,18,11,A,,
False,A,29,8,39966,18,11,B,,
False,A,29,9,39986,18,11,A,,
False,A,29,10,40004,18,11,B,,
False,A,29,11,40023,18,11,A,,
False,A,29,12,40054,18,11,B,,
False,A,29,13,40075,18,11,A,,
False,A,29,14,40097,18,11,B,,
False,A,29,15,40126,18,11,A,,
False,A,29,16,40151,18,11,B,對手落地致勝,B
True,B,30,1,40613,18,12,B,,
True,B,30,2,40614,18,12,A,,
True,B,30,3,40621,18,12,B,,
True,B,30,4,40638,18,12,A,,
True,B,30,5,40674,18,12,B,,
True,B,30,6,40692,18,12,A,,
True,B,30,7,40714,18,12,B,,
True,B,30,8,40739,18,12,A,,
True,B,30,9,40764,18,12,B,,
True,B,30,10,40789,18,12,A,,
True,B,30,11,40814,18,12,B,,
True,B,30,12,40840,18,12,A,,
True,B,30,13,40879,18,12,B,,
True,B,30,14,40903,18,12,A,,
True,B,30,15,40929,18,12,B,,
True,B,30,16,40950,18,12,A,,
True,B,30,17,40984,18,12,B,,
True,B,30,18,41016,18,12,A,,
True,B,30,19,41045,18,12,B,,
True,B,30,20,41063,18,12,A,,
True,B,30,21,41091,18,12,B,,
True,B,30,22,41123,18,12,A,,
True,B,30,23,41162,18,12,B,,
True,B,30,24,41190,18,12,A,,
True,B,30,25,41214,18,12,B,對手落地致勝,B
False,B,31,1,41738,19,12,B,,
False,B,31,2,41775,19,12,A,,
False,B,31,3,41788,19,12,B,掛網,A
True,A,32,1,42221,20,12,A,,
True,A,32,2,42240,20,12,B,,
True,A,32,3,42267,20,12,A,,
True,A,32,4,42303,20,12,B,,
True,A,32,5,42319,20,12,A,,
True,A,32,6,42346,20,12,B,,
True,A,32,7,42381,20,12,A,,
True,A,32,8,42412,20,12,B,,
True,A,32,9,42423,20,12,A,對手落地致勝,A
False,A,33,1,42797,20,13,A,,
False,A,33,2,42813,20,13,B,,
False,A,33,3,42841,20,13,A,,
False,A,33,4,42868,20,13,B,,
False,A,33,5,42887,20,13,A,,
False,A,33,6,42915,20,13,B,,
False,A,33,7,42941,20,13,A,,
False,A,33,8,42960,20,13,B,,
False,A,33,9,42976,20,13,A,,
False,A,33,10,42997,20,13,B,,
False,A,33,11,43022,20,13,A,,
False,A,33,12,43079,20,13,B,對手落地致勝,B
True,B,34,1,43701,20,14,B,,
True,B,34,2,43722,20,14,A,,
True,B,34,3,43753,20,14,B,,
True,B,34,4,43783,20,14,A,出界,B
False,B,35,1,44111,20,15,B,,
False,B,35,2,44137,20,15,A,出界,B
True,B,36,1,44411,21,15,B,,
True,B,36,2,44440,21,15,A,,
True,B,36,3,44458,21,15,B,,
True,B,36,4,44489,21,15,A,,
True,B,36,5,44507,21,15,B,,
True,B,36,6,44534,21,15,A,,
True,B,36,7,44561,21,15,B,,
True,B,36,8,44582,21,15,A,,
True,B,36,9,44597,21,15,B,,
True,B,36,10,44612,21,15,A,,
True,B,36,11,44623,21,15,B,,
True,B,36,12,44640,21,15,A,,
True,B,36,13,44662,21,15,B,,
True,B,36,14,44694,21,15,A,,
True,B,36,15,44726,21,15,B,,
True,B,36,16,44745,21,15,A,,
True,B,36,17,44774,21,15,B,掛網,A
