rally,ball_round,time,roundscore_A,roundscore_B,player,type,lose_reason,win_reason,getpoint_player,flaw,db
7,13,00:09:30,4,3,B,擋小球,,,,,0
7,14,00:09:31,4,3,A,挑球,,,,,0
7,15,00:09:32,4,3,B,長球,,,,,0
7,16,00:09:33,4,3,A,點扣,,,,,0
7,17,00:09:34,4,3,B,勾球,,,,,0
7,18,00:09:35,4,3,A,挑球,,,,,0
7,19,00:09:36,4,3,B,長球,,,,,0
7,20,00:09:37,4,3,A,切球,,,,,0
7,21,00:09:38,4,3,B,放小球,,,,,0
7,22,00:09:39,4,3,A,挑球,,,,,0
7,23,00:09:40,4,3,B,長球,,,,,0
7,24,00:09:41,4,3,A,長球,,,,,0
7,25,00:09:43,4,3,B,點扣,,,,,0
7,26,00:09:43,4,3,A,擋小球,,,,,0
7,27,00:09:45,4,3,B,推球,,,,,0
7,28,00:09:45,4,3,A,後場抽平球,,,,,0
7,29,00:09:46,4,3,B,點扣,,,,,0
7,30,00:09:47,4,3,A,擋小球,,,,,0
7,31,00:09:48,4,3,B,挑球,,,,,0
7,32,00:09:49,4,3,A,長球,,,,,0
7,33,00:09:51,4,3,B,切球,,,,,0
7,34,00:09:52,4,3,A,勾球,,,,,0
7,35,00:09:53,4,3,B,擋小球,未過網,對手未過網,A,,0
8,1,00:10:54,4,4,A,發短球,,,,,0
8,2,00:10:55,4,4,B,放小球,,,,,0
8,3,00:10:56,4,4,A,挑球,,,,,0
8,4,00:10:57,4,4,B,切球,,,,,0
8,5,00:10:58,4,4,A,放小球,,,,,0
8,6,00:10:59,4,4,B,放小球,,,,,0
8,7,00:11:00,4,4,A,挑球,,,,,0
8,8,00:11:02,4,4,B,長球,,,,,0
8,9,00:11:03,4,4,A,點扣,出界,對手出界,B,,0
9,1,00:11:18,4,5,B,發長球,,,,,0
9,2,00:11:19,4,5,A,點扣,,,,,0
9,3,00:11:20,4,5,B,擋小球,,,,,0
9,4,00:11:20,4,5,A,放小球,,,,,0
9,5,00:11:21,4,5,B,放小球,,,,,0
9,6,00:11:22,4,5,A,挑球,,,,,0
9,7,00:11:23,4,5,B,殺球,對手落地致勝,落地致勝,B,,0
10,1,00:11:41,4,6,B,發短球,,,,,0
10,2,00:11:42,4,6,A,推球,,,,,0
10,3,00:11:43,4,6,B,長球,,,,,0
10,4,00:11:44,4,6,A,點扣,,,,,0
10,5,00:11:44,4,6,B,防守回挑,,,,,0
10,6,00:11:46,4,6,A,殺球,,,,,0
10,7,00:11:46,4,6,B,擋小球,,,,,0
10,8,00:11:47,4,6,A,挑球,出界,對手出界,B,,0
11,1,00:12:05,5,6,B,發短球,,,,,0
11,2,00:12:06,5,6,A,勾球,,,,,0
11,3,00:12:07,5,6,B,挑球,,,,,0
11,4,00:12:08,5,6,A,後場抽平球,,,,,0
11,5,00:12:09,5,6,B,切球,,,,,0
11,6,00:12:10,5,6,A,挑球,,,,,0
11,7,00:12:11,5,6,B,殺球,,,,,0
11,8,00:12:12,5,6,A,擋小球,,,,,0
11,9,00:12:13,5,6,B,挑球,,,,,0
11,10,00:12:14,5,6,A,長球,,,,,0
11,11,00:12:15,5,6,B,殺球,,,,,0
11,12,00:12:16,5,6,A,擋小球,,,,,0
11,13,00:12:17,5,6,B,挑球,出界,對手出界,A,,0
12,1,00:13:01,6,6,A,發短球,,,,,0
12,2,00:13:02,6,6,B,推球,,,,,0
12,3,00:13:03,6,6,A,切球,,,,,0
12,4,00:13:04,6,6,B,挑球,,,,,0
12,5,00:13:05,6,6,A,點扣,,,,,0
12,6,00:13:05,6,6,B,防守回挑,,,,,0
12,7,00:13:06,6,6,A,切球,,,,,0
12,8,00:13:07,6,6,B,放小球,,,,,0
12,9,00:13:08,6,6,A,挑球,,,,,0
12,10,00:13:10,6,6,B,長球,,,,,0
12,11,00:13:11,6,6,A,點扣,對手落地致勝,落地致勝,A,,0
13,1,00:13:46,6,7,A,未知球種,,,,1.0,0
13,2,00:13:46,6,7,B,未知球種,,,,1.0,0
13,3,00:13:46,6,7,A,未知球種,,,,1.0,0
13,4,00:13:46,6,7,B,未知球種,,,,1.0,0
13,5,00:13:46,6,7,A,未知球種,,,,1.0,0
14,1,00:14:06,7,7,B,發短球,,,,,0
14,2,00:14:07,7,7,A,放小球,,,,,0
14,3,00:14:08,7,7,B,放小球,,,,,0
14,4,00:14:09,7,7,A,挑球,,,,,0
14,5,00:14:10,7,7,B,殺球,掛網,對手掛網,A,,0
15,1,00:14:32,7,8,A,發短球,,,,,0
15,2,00:14:33,7,8,B,放小球,,,,,0
15,3,00:14:33,7,8,A,挑球,,,,,0
15,4,00:14:35,7,8,B,殺球,對手落地致勝,落地致勝,B,,0
16,1,00:15:02,7,9,B,發短球,,,,,0
16,2,00:15:03,7,9,A,勾球,,,,,0
16,3,00:15:04,7,9,B,放小球,,,,,0
16,4,00:15:05,7,9,A,挑球,,,,,0
16,5,00:15:07,7,9,B,長球,,,,,0
16,6,00:15:08,7,9,A,點扣,出界,對手出界,B,,0
17,1,00:15:44,8,9,B,發短球,,,,,0
17,2,00:15:45,8,9,A,推球,,,,,0
17,3,00:15:46,8,9,B,長球,,,,,0
17,4,00:15:47,8,9,A,切球,,,,,0
17,5,00:15:48,8,9,B,推球,,,,,0
17,6,00:15:49,8,9,A,過度切球,,,,,0
17,7,00:15:50,8,9,B,放小球,,,,,0
17,8,00:15:51,8,9,A,挑球,,,,,0
17,9,00:15:52,8,9,B,長球,,,,,0
17,10,00:15:54,8,9,A,點扣,,,,,0
17,11,00:15:54,8,9,B,擋小球,,,,,0
17,12,00:15:55,8,9,A,推球,,,,,0
17,13,00:15:57,8,9,B,過度切球,,,,,0
17,14,00:15:57,8,9,A,勾球,,,,,0
17,15,00:15:58,8,9,B,放小球,,,,,0
17,16,00:15:59,8,9,A,放小球,,,,,0
17,17,00:16:00,8,9,B,挑球,,,,,0
17,18,00:16:02,8,9,A,殺球,對手落地致勝,落地致勝,A,,0
18,1,00:16:23,8,10,A,發短球,,,,,0
18,2,00:16:23,8,10,B,推球,,,,,0
18,3,00:16:24,8,10,A,後場抽平球,,,,,0
18,4,00:16:25,8,10,B,後場抽平球,,,,,0
18,5,00:16:25,8,10,A,過度切球,,,,,0
18,6,00:16:26,8,10,B,放小球,,,,,0
18,7,00:16:27,8,10,A,挑球,,,,,0
18,8,00:16:28,8,10,B,長球,,,,,0
18,9,00:16:30,8,10,A,殺球,,,,,0
18,10,00:16:30,8,10,B,擋小球,,,,,0
18,11,00:16:31,8,10,A,推球,,,,,0
18,12,00:16:33,8,10,B,過度切球,,,,,0
18,13,00:16:33,8,10,A,勾球,,,,,0
18,14,00:16:34,8,10,B,挑球,,,,,0
18,15,00:16:36,8,10,A,過度切球,,,,,0
18,16,00:16:36,8,10,B,防守回抽,,,,,0
18,17,00:16:37,8,10,A,點扣,,,,,0
18,18,00:16:38,8,10,B,擋小球,,,,,0
18,19,00:16:39,8,10,A,挑球,,,,,0
18,20,00:16:40,8,10,B,殺球,,,,,0
18,21,00:16:40,8,10,A,擋小球,,,,,0
18,22,00:16:41,8,10,B,平球,,,,,0
18,23,00:16:42,8,10,A,平球,,,,,0
18,24,00:16:42,8,10,B,平球,,,,,0
18,25,00:16:42,8,10,A,平球,,,,,0
18,26,00:16:43,8,10,B,推球,,,,,0
18,27,00:16:44,8,10,A,過度切球,,,,,0
18,28,00:16:45,8,10,B,挑球,,,,,0
18,29,00:16:46,8,10,A,過度切球,,,,,0
18,30,00:16:47,8,10,B,挑球,,,,,0
18,31,00:16:48,8,10,A,長球,,,,,0
18,32,00:16:50,8,10,B,切球,,,,,0
18,33,00:16:51,8,10,A,勾球,,,,,0
18,34,00:16:52,8,10,B,放小球,,,,,0
18,35,00:16:53,8,10,A,放小球,,,,,0
18,36,00:16:53,8,10,B,撲球,對手落地致勝,落地致勝,B,,0
19,1,00:17:42,8,11,B,未知球種,,,,1.0,0
19,2,00:17:42,8,11,A,未知球種,,,,1.0,0
19,3,00:17:42,8,11,B,未知球種,,,,1.0,0
20,1,00:19:43,9,11,B,發短球,,,,,0
20,2,00:19:43,9,11,A,放小球,,,,,0
20,3,00:19:44,9,11,B,放小球,,,,,0
20,4,00:19:45,9,11,A,挑球,,,,,0
20,5,00:19:47,9,11,B,殺球,,,,,0
20,6,00:19:47,9,11,A,擋小球,,,,,0
20,7,00:19:48,9,11,B,放小球,,,,,0
20,8,00:19:49,9,11,A,放小球,,,,,0
20,9,00:19:50,9,11,B,挑球,,,,,0
20,10,00:19:53,9,11,A,殺球,,,,,0
20,11,00:19:53,9,11,B,防守回抽,出界,對手出界,A,,0
21,1,00:20:19,10,11,A,發短球,,,,,0
21,2,00:20:20,10,11,B,推球,,,,,0
21,3,00:20:21,10,11,A,點扣,,,,,0
21,4,00:20:22,10,11,B,擋小球,,,,,0
21,5,00:20:22,10,11,A,放小球,,,,,0
21,6,00:20:23,10,11,B,放小球,掛網,對手掛網,A,,0
22,1,00:20:43,11,11,A,發短球,,,,,0
22,2,00:20:43,11,11,B,推球,,,,,0
22,3,00:20:44,11,11,A,後場抽平球,,,,,0
22,4,00:20:45,11,11,B,過度切球,,,,,0
22,5,00:20:46,11,11,A,勾球,,,,,0
22,6,00:20:46,11,11,B,放小球,,,,,0
22,7,00:20:47,11,11,A,挑球,,,,,0
22,8,00:20:49,11,11,B,切球,,,,,0
22,9,00:20:49,11,11,A,勾球,,,,,0
22,10,00:20:51,11,11,B,放小球,,,,,0
22,11,00:20:51,11,11,A,挑球,,,,,0
22,12,00:20:54,11,11,B,殺球,,,,,0
22,13,00:20:54,11,11,A,防守回抽,,,,,0
22,14,00:20:55,11,11,B,平球,,,,,0
22,15,00:20:55,11,11,A,防守回抽,,,,,0
22,16,00:20:55,11,11,B,平球,未過網,對手未過網,A,,0
23,1,00:21:17,11,12,A,發短球,,,,,0
23,2,00:21:18,11,12,B,放小球,,,,,0
23,3,00:21:19,11,12,A,挑球,,,,,0
23,4,00:21:20,11,12,B,切球,,,,,0
23,5,00:21:21,11,12,A,放小球,,,,,0
23,6,00:21:22,11,12,B,推球,,,,,0
23,7,00:21:23,11,12,A,過度切球,,,,,0
23,8,00:21:24,11,12,B,推球,,,,,0
23,9,00:21:25,11,12,A,點扣,,,,,0
23,10,00:21:26,11,12,B,過度切球,,,,,0
23,11,00:21:26,11,12,A,放小球,,,,,0
23,12,00:21:27,11,12,B,放小球,,,,,0
23,13,00:21:28,11,12,A,勾球,掛網,對手掛網,B,,0
24,1,00:21:49,11,13,B,發短球,,,,,0
24,2,00:21:50,11,13,A,放小球,,,,,0
24,3,00:21:51,11,13,B,放小球,,,,,0
24,4,00:21:52,11,13,A,挑球,出界,對手出界,B,,0
25,1,00:22:17,12,13,B,發短球,,,,,0
25,2,00:22:18,12,13,A,放小球,,,,,0
25,3,00:22:19,12,13,B,放小球,,,,,0
25,4,00:22:20,12,13,A,挑球,,,,,0
25,5,00:22:21,12,13,B,殺球,,,,,0
25,6,00:22:22,12,13,A,擋小球,,,,,0
25,7,00:22:23,12,13,B,推球,,,,,0
25,8,00:22:23,12,13,A,擋小球,,,,,0
25,9,00:22:24,12,13,B,推球,,,,,0
25,10,00:22:25,12,13,A,殺球,,,,,0
25,11,00:22:26,12,13,B,擋小球,,,,,0
25,12,00:22:26,12,13,A,平球,,,,,0
25,13,00:22:27,12,13,B,防守回抽,未過網,對手未過網,A,,0
26,1,00:23:08,12,14,A,發短球,,,,,0
26,2,00:23:09,12,14,B,放小球,,,,,0
26,3,00:23:10,12,14,A,放小球,,,,,0
26,4,00:23:10,12,14,B,挑球,,,,,0
26,5,00:23:12,12,14,A,殺球,,,,,0
26,6,00:23:13,12,14,B,擋小球,,,,,0
26,7,00:23:13,12,14,A,放小球,,,,,0
26,8,00:23:14,12,14,B,放小球,,,,,0
26,9,00:23:15,12,14,A,放小球,,,,,0
26,10,00:23:16,12,14,B,挑球,,,,,0
26,11,00:23:18,12,14,A,殺球,出界,對手出界,B,,0
27,1,00:24:05,13,14,B,未知球種,,,,1.0,0
27,2,00:24:05,13,14,A,未知球種,,,,1.0,0
28,1,00:24:35,14,14,A,發短球,,,,,0
28,2,00:24:36,14,14,B,放小球,,,,,0
28,3,00:24:37,14,14,A,推球,,,,,0
28,4,00:24:38,14,14,B,過度切球,,,,,0
28,5,00:24:39,14,14,A,放小球,,,,,0
28,6,00:24:40,14,14,B,放小球,,,,,0
28,7,00:24:41,14,14,A,挑球,,,,,0
28,8,00:24:42,14,14,B,後場抽平球,,,,,0
28,9,00:24:43,14,14,A,擋小球,,,,,0
28,10,00:24:44,14,14,B,推球,,,,,0
28,11,00:24:45,14,14,A,過度切球,,,,,0
28,12,00:24:46,14,14,B,勾球,,,,,0
28,13,00:24:46,14,14,A,挑球,,,,,0
28,14,00:24:48,14,14,B,殺球,,,,,0
28,15,00:24:48,14,14,A,擋小球,,,,,0
28,16,00:24:49,14,14,B,放小球,,,,,0
28,17,00:24:50,14,14,A,勾球,,,,,0
28,18,00:24:51,14,14,B,放小球,,,,,0
28,19,00:24:52,14,14,A,放小球,,,,,0
28,20,00:24:53,14,14,B,放小球,未過網,對手未過網,A,,0
29,1,00:25:20,15,14,A,發短球,,,,,0
29,2,00:25:21,15,14,B,推球,,,,,0
29,3,00:25:22,15,14,A,後場抽平球,,,,,0
29,4,00:25:23,15,14,B,擋小球,,,,,0
29,5,00:25:24,15,14,A,放小球,,,,,0
29,6,00:25:24,15,14,B,挑球,,,,,0
29,7,00:25:27,15,14,A,殺球,對手落地致勝,落地致勝,A,,0
30,1,00:25:56,16,14,A,發短球,,,,,0
30,2,00:25:57,16,14,B,推球,,,,,0
30,3,00:25:57,16,14,A,點扣,,,,,0
30,4,00:25:58,16,14,B,防守回抽,,,,,0
30,5,00:25:58,16,14,A,擋小球,,,,,0
30,6,00:25:59,16,14,B,撲球,出界,對手出界,A,,0
31,1,00:26:23,17,14,A,發短球,,,,,0
31,2,00:26:24,17,14,B,放小球,,,,,0
31,3,00:26:25,17,14,A,挑球,,,,,0
31,4,00:26:26,17,14,B,切球,,,,,0
31,5,00:26:27,17,14,A,擋小球,,,,,0
31,6,00:26:28,17,14,B,挑球,,,,,0
31,7,00:26:29,17,14,A,殺球,,,,,0
31,8,00:26:30,17,14,B,擋小球,,,,,0
31,9,00:26:31,17,14,A,挑球,,,,,0
31,10,00:26:32,17,14,B,長球,,,,,0
31,11,00:26:33,17,14,A,殺球,,,,,0
31,12,00:26:34,17,14,B,擋小球,掛網,對手掛網,A,,0
32,1,00:27:01,18,14,A,發短球,,,,,0
32,2,00:27:01,18,14,B,放小球,,,,,0
32,3,00:27:02,18,14,A,放小球,,,,,0
32,4,00:27:03,18,14,B,放小球,掛網,對手掛網,A,,0
33,1,00:27:25,19,14,A,發短球,,,,,0
33,2,00:27:26,19,14,B,放小球,,,,,0
33,3,00:27:27,19,14,A,挑球,,,,,0
33,4,00:27:28,19,14,B,點扣,,,,,0
33,5,00:27:28,19,14,A,勾球,,,,,0
33,6,00:27:30,19,14,B,推球,,,,,0
33,7,00:27:31,19,14,A,後場抽平球,,,,,0
33,8,00:27:31,19,14,B,防守回抽,,,,,0
33,9,00:27:32,19,14,A,平球,,,,,0
33,10,00:27:32,19,14,B,擋小球,,,,,0
33,11,00:27:33,19,14,A,推球,,,,,0
33,12,00:27:35,19,14,B,切球,,,,,0
33,13,00:27:35,19,14,A,挑球,,,,,0
33,14,00:27:36,19,14,B,殺球,,,,,0
33,15,00:27:37,19,14,A,擋小球,,,,,0
33,16,00:27:38,19,14,B,撲球,出界,對手出界,A,,0
34,1,00:28:43,20,14,A,發短球,,,,,0
34,2,00:28:44,20,14,B,推球,,,,,0
34,3,00:28:45,20,14,A,殺球,,,,,0
34,4,00:28:45,20,14,B,擋小球,,,,,0
34,5,00:28:46,20,14,A,放小球,,,,,0
34,6,00:28:47,20,14,B,推球,,,,,0
34,7,00:28:48,20,14,A,切球,,,,,0
34,8,00:28:48,20,14,B,推球,,,,,0
34,9,00:28:49,20,14,A,過度切球,,,,,0
34,10,00:28:50,20,14,B,推球,,,,,0
34,11,00:28:51,20,14,A,點扣,,,,,0
34,12,00:28:51,20,14,B,防守回抽,,,,,0
34,13,00:28:52,20,14,A,殺球,對手落地致勝,落地致勝,A,,0
35,1,00:29:43,20,15,A,發短球,,,,,0
35,2,00:29:44,20,15,B,挑球,對手落地致勝,落地致勝,B,,0
36,1,00:30:06,20,16,B,發短球,,,,,0
36,2,00:30:07,20,16,A,放小球,,,,,0
36,3,00:30:07,20,16,B,推球,,,,,0
36,4,00:30:08,20,16,A,長球,,,,,0
36,5,00:30:09,20,16,B,點扣,,,,,0
36,6,00:30:10,20,16,A,擋小球,,,,,0
36,7,00:30:11,20,16,B,放小球,,,,,0
36,8,00:30:12,20,16,A,挑球,,,,,0
36,9,00:30:13,20,16,B,切球,,,,,0
36,10,00:30:14,20,16,A,放小球,,,,,0
36,11,00:30:15,20,16,B,推球,,,,,0
36,12,00:30:16,20,16,A,後場抽平球,,,,,0
36,13,00:30:17,20,16,B,後場抽平球,,,,,0
36,14,00:30:17,20,16,A,後場抽平球,,,,,0
36,15,00:30:18,20,16,B,點扣,,,,,0
36,16,00:30:18,20,16,A,擋小球,,,,,0
36,17,00:30:19,20,16,B,推球,,,,,0
36,18,00:30:20,20,16,A,點扣,出界,對手出界,B,,0
37,1,00:30:51,20,17,B,發短球,,,,,0
37,2,00:30:52,20,17,A,放小球,,,,,0
37,3,00:30:53,20,17,B,勾球,,,,,0
37,4,00:30:54,20,17,A,放小球,,,,,0
37,5,00:30:55,20,17,B,勾球,,,,,0
37,6,00:30:55,20,17,A,放小球,,,,,0
37,7,00:30:56,20,17,B,挑球,,,,,0
37,8,00:30:58,20,17,A,點扣,,,,,0
37,9,00:30:59,20,17,B,擋小球,,,,,0
37,10,00:31:00,20,17,A,放小球,,,,,0
37,11,00:31:00,20,17,B,勾球,,,,,0
37,12,00:31:01,20,17,A,推球,,,,,0
37,13,00:31:02,20,17,B,殺球,,,,,0
37,14,00:31:03,20,17,A,擋小球,,,,,0
37,15,00:31:04,20,17,B,放小球,,,,,0
37,16,00:31:05,20,17,A,挑球,,,,,0
37,17,00:31:06,20,17,B,長球,,,,,0
37,18,00:31:08,20,17,A,切球,,,,,0
37,19,00:31:08,20,17,B,放小球,,,,,0
37,20,00:31:09,20,17,A,挑球,出界,對手出界,B,,0
38,1,00:31:43,21,17,B,發短球,,,,,0
38,2,00:31:44,21,17,A,放小球,,,,,0
38,3,00:31:45,21,17,B,放小球,,,,,0
38,4,00:31:45,21,17,A,挑球,,,,,0
38,5,00:31:47,21,17,B,殺球,,,,,0
38,6,00:31:47,21,17,A,擋小球,,,,,0
38,7,00:31:48,21,17,B,放小球,,,,,0
38,8,00:31:49,21,17,A,推球,,,,,0
38,9,00:31:50,21,17,B,切球,,,,,0
38,10,00:31:51,21,17,A,放小球,,,,,0
38,11,00:31:52,21,17,B,推球,,,,,0
38,12,00:31:53,21,17,A,點扣,,,,,0
38,13,00:31:54,21,17,B,擋小球,,,,,0
38,14,00:31:55,21,17,A,挑球,,,,,0
38,15,00:31:56,21,17,B,過度切球,,,,,0
38,16,00:31:57,21,17,A,放小球,,,,,0
38,17,00:31:58,21,17,B,放小球,出界,對手出界,A,,0
